"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created"
2025-12-01,2025-12-15,"Test LDP",active,644830,305886,2.108073,6.605074,6050,1.977861,0.613004,146262,22382,11990,7269,3962,2835,5,,,748,5.694051,446,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.54966368,4259.15,"Using ad set budget",0,2025-08-26
2025-12-01,2025-12-15,"LDP | social funnel | DM",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using ad set budget",0,2025-09-24
2025-12-01,2025-12-15,"LDP | social funnel | PROFILE VISIT",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using ad set budget",0,2025-09-24
2025-12-01,2025-12-15,"RET | video lungo",active,161559,79345,2.036159,1.835181,2,0.002521,148.245,102604,365,223,135,104,90,12,,,,,23341,video_thruplay_watched_actions,0.01270254,296.49,"Using ad set budget",0,2025-10-31
2025-12-01,2025-12-15,"RET | video lungo - F",active,153988,89737,1.715992,1.923851,1,0.001114,296.25,101176,192,90,69,52,47,12,,,,,22998,video_thruplay_watched_actions,0.01288155,296.25,"Using ad set budget",0,2025-11-05
2025-12-01,2025-12-15,"RET | CBO | 25% VV video lungo > VSL",active,45487,31563,1.441149,3.280937,374,1.184932,0.387636,12277,1536,795,562,334,300,5,,,12,12.436667,12,conversions:offsite_conversion.fb_pixel_custom.generate_lead,12.43666667,149.24,10,Daily,2025-11-10
2025-12-01,2025-12-15,"CBO | cold | scaling",active,381905,264644,1.44309,6.024325,3783,1.429468,0.584978,101712,15092,8048,5476,2805,2286,5,,,298,7.720537,297,conversions:offsite_conversion.fb_pixel_custom.generate_lead,7.74653199,2300.72,200,Daily,2025-11-12
