"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  best creative",active,42267,29910,1.413139,3.293349,353,1.180207,0.387744,11419,1440,739,517,301,270,5,,,11,12.654545,11,conversions:offsite_conversion.fb_pixel_custom.generate_lead,12.65454545,139.2,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO",active,12054,9435,1.277583,17.336984,172,1.822999,1.180678,4390,289,158,102,69,46,6,,,24,8.7075,14,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.92714286,208.98,15,Daily,2025-11-11,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  best creative",active,351020,243922,1.439067,5.97946,3510,1.438985,0.58013,92869,13800,7311,4983,2547,2078,5,,,279,7.522975,278,conversions:offsite_conversion.fb_pixel_custom.generate_lead,7.55003597,2098.91,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  SUSY_-_Vuoi_guadagnare_senza_fare_niente",active,58332,48466,1.203565,3.568367,1537,3.171295,0.124195,16327,3210,2277,1261,690,332,10,,,284,0.732923,158,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,1.31740506,208.15,15,Daily,2025-11-19,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  CENA IN FAMIGLIA",active,22049,16191,1.361806,9.413125,195,1.204373,0.93914,4541,1141,542,367,161,143,3,,,16,12.971875,10,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,20.755,207.55,15,Daily,2025-11-19,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: PERSONE_NON_CREDONO",active,19090,12137,1.572876,10.884233,205,1.68905,0.940181,2832,541,382,233,132,111,3,,,25,8.3112,9,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,23.08666667,207.78,15,Daily,2025-11-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: FORESTA",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  FORESTA 2",active,15170,9504,1.59617,10.864865,180,1.893939,0.692521,3049,1585,904,373,235,207,5,,,11,14.983636,7,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,23.54571429,164.82,15,Daily,2025-12-03,2025-12-03T23:38:19+0100,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: ALESSIA URLA A LUCA",active,5559,4370,1.272082,8.285663,40,0.915332,1.096667,1139,144,71,47,33,28,4,,,3,15.353333,3,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,15.35333333,46.06,15,Daily,2025-12-11,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  BOX_DOMANDE",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-09-20,2025-09-30T02:05:34+0200,"Test LDP"
