"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created"
2025-12-01,2025-12-31,,0,3026661,1119680,2.703148,5.219263,,1.878572,,,,,,,,00:00:00,,,,,,,,15796.94,0,0,0
2025-12-01,2025-12-31,"Test LDP",active,1365688,512011,2.667302,6.499581,12458,2.433151,0.582212,321912,52847,28277,16475,9162,7073,5,,,1466,6.054843,883,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,10.05254813,8876.4,"Using ad set budget",0,2025-08-26
2025-12-01,2025-12-31,"LDP | social funnel | DM",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using ad set budget",0,2025-09-24
2025-12-01,2025-12-31,"LDP | social funnel | PROFILE VISIT",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using ad set budget",0,2025-09-24
2025-12-01,2025-12-31,"RET | video lungo",active,361079,132910,2.716718,1.574475,2,0.001505,284.255,224592,739,444,277,215,186,12,,,,,49152,video_thruplay_watched_actions,0.01156637,568.51,"Using ad set budget",0,2025-10-31
2025-12-01,2025-12-31,"RET | video lungo - F",active,350641,158828,2.207677,1.618864,1,0.00063,567.64,224628,410,204,162,124,115,12,,,,,48574,video_thruplay_watched_actions,0.01168609,567.64,"Using ad set budget",0,2025-11-05
2025-12-01,2025-12-31,"RET | CBO | 25% VV video lungo > VSL",inactive,78757,47304,1.664912,3.67561,697,1.473448,0.393315,22619,2803,1488,1045,628,554,6,,,24,12.061667,24,conversions:offsite_conversion.fb_pixel_custom.generate_lead,12.06166667,289.48,10,Daily,2025-11-10
2025-12-01,2025-12-31,"CBO | cold | scaling",active,865979,488267,1.773577,6.320846,8288,1.697432,0.614956,242791,33496,17917,12095,6423,5169,6,,,639,8.566072,638,conversions:offsite_conversion.fb_pixel_custom.generate_lead,8.57949843,5473.72,200,Daily,2025-11-12
2025-12-01,2025-12-31,"RET | CBO > VSL",active,4517,4209,1.073177,4.691167,80,1.900689,0.258415,1286,215,144,94,52,37,9,,,11,1.926364,11,conversions:offsite_conversion.fb_pixel_custom.generate_lead,1.92636364,21.19,10,Daily,2025-12-30
