"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created"
2025-12-08,2025-12-14,,0,721471,434832,1.659195,5.247446,,1.259107,,,,,,,,00:00:00,,,,,,,,3785.88,0,0,0
2025-12-08,2025-12-14,"Test LDP",active,310593,180541,1.720346,6.501563,2980,1.650595,0.593924,70313,11303,6101,3659,2029,1453,5,,,361,5.59374,207,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.7552657,2019.34,"Using ad set budget",0,2025-08-26
2025-12-08,2025-12-14,"LDP | social funnel | DM",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using ad set budget",0,2025-09-24
2025-12-08,2025-12-14,"LDP | social funnel | PROFILE VISIT",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,"Using ad set budget",0,2025-09-24
2025-12-08,2025-12-14,"RET | video lungo",active,78993,50544,1.562856,1.783956,,0,,51486,197,122,70,53,44,13,,,,,11866,video_thruplay_watched_actions,0.01187595,140.92,"Using ad set budget",0,2025-10-31
2025-12-08,2025-12-14,"RET | video lungo - F",active,71927,50550,1.422888,1.959904,1,0.001978,140.97,48166,95,50,39,33,35,13,,,,,11387,video_thruplay_watched_actions,0.01237991,140.97,"Using ad set budget",0,2025-11-05
2025-12-08,2025-12-14,"RET | CBO | 25% VV video lungo > VSL",active,21220,16243,1.306409,3.32328,177,1.0897,0.383261,5687,774,401,284,163,144,5,,,5,14.104,6,conversions:offsite_conversion.fb_pixel_custom.generate_lead,11.75333333,70.52,10,Daily,2025-11-10
2025-12-08,2025-12-14,"CBO | cold | scaling",active,238738,185798,1.284933,5.923355,2457,1.322404,0.572754,62368,9600,5034,3441,1764,1431,5,,,199,7.106181,200,conversions:offsite_conversion.fb_pixel_custom.generate_lead,7.07065,1414.13,200,Daily,2025-11-12
