"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-08,2025-12-14,,0,721471,434832,1.659195,5.247446,,1.259107,,,,,,,,00:00:00,,,,,,,,3785.88,0,0,0,0,
2025-12-08,2025-12-14,"M/F_25-45_ADV+:  HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",active,24473,21393,1.143972,4.32354,153,0.715187,0.673949,6688,599,300,201,94,67,5,,,10,10.581,11,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.61909091,105.81,15,Daily,2025-10-20,2025-11-10T03:28:15+0100,"Test LDP"
2025-12-08,2025-12-14,"M/F_25-45_ADV+:  HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1 - Copy",active,22180,18183,1.219821,4.762399,237,1.303415,0.434691,4647,1011,321,169,104,78,5,,,28,3.7725,18,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,5.86833333,105.63,15,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP"
2025-12-08,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N - Copy",active,50486,46279,1.090905,4.192449,425,0.918343,0.486575,11407,2108,1061,701,335,296,4,,,33,6.413939,22,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.62090909,211.66,30,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP"
2025-12-08,2025-12-14,"M/F_25-45_ADV+: Video_ad_educational - Copy",active,21215,18361,1.155438,5.012491,111,0.604542,0.941062,4316,883,421,301,187,150,4,,,17,6.255294,11,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,9.66727273,106.34,15,Daily,2025-10-20,2025-11-17T21:09:52+0100,"Test LDP"
2025-12-08,2025-12-14,"M/F_25-45_ADV+:  BOX_DOMANDE - Copia  pixel",active,18259,12499,1.460837,11.547182,186,1.488119,1.048955,3151,886,458,187,140,126,3,,,16,13.1775,10,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,21.084,210.84,30,Daily,2025-10-20,2025-10-20T14:03:14+0200,"Test LDP"
2025-12-08,2025-12-14,"M/F_25-45_ADV+: Video_ad_educational - CON COMMENTI",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-29,2025-10-29T22:06:13+0100,"Test LDP"
2025-12-08,2025-12-14,"50% ads view 90 days",active,78993,50544,1.562856,1.783956,,0,,51486,197,122,70,53,44,13,,,,,11866,video_thruplay_watched_actions,0.01187595,140.92,20,Daily,2025-10-31,2025-11-08T17:09:52+0100,"RET | video lungo"
2025-12-08,2025-12-14,"50% ads view 90 days",active,71927,50550,1.422888,1.959904,1,0.001978,140.97,48166,95,50,39,33,35,13,,,,,11387,video_thruplay_watched_actions,0.01237991,140.97,20,Daily,2025-11-05,2025-11-08T17:09:48+0100,"RET | video lungo - F"
2025-12-08,2025-12-14,"M/F_25-45_ADV+: ad_1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
